Store,Region,City,State,Zip Code
36530,Midwest,Hannibal,MO,63401
36531,Midwest,Quincy,IL,62301
36532,Midwest,Macomb,IL,61455
36533,Midwest,Keokuk,IA,52632
36534,Midwest,Quincy,IL,62301
36695,Midwest,Overland Park,KS,66213
37048,Midwest,Alton,IL,62002
37049,Midwest,St. Charles,MO,63301
37390,Colorado Springs,Colorado Springs,CO,80906
37391,Colorado Springs,Pueblo,CO,81004
37392,Colorado Springs,Colorado Springs,CO,80903
37393,Colorado Springs,Colorado Springs,CO,80903
37394,Colorado Springs,Colorado Springs,CO,80909
37395,Colorado Springs,Colorado Springs,CO,80904
37396,Colorado Springs,Canon City,CO,81212
37397,Colorado Springs,Pueblo,CO,81005
37398,Colorado Springs,Colorado Springs,CO,80907
37399,Colorado Springs,Colorado Springs,CO,80906
37400,Colorado Springs,Colorado Springs,CO,80918
37401,Colorado Springs,Colorado Springs,CO,80903
37402,Colorado Springs,Colorado Springs,CO,80915
37403,Colorado Springs,Pueblo West,CO,81007
37404,Colorado Springs,Woodland Park,CO,80863
37405,Colorado Springs,Pueblo,CO,80903
37406,Colorado Springs,Colorado Springs,CO,80910
37407,Colorado Springs,Pueblo,CO,81004
37408,Colorado Springs,Colorado Springs,CO,80903
37409,Colorado Springs,Pueblo,CO,81003
37410,Colorado Springs,Fountain,CO,80817
37411,Colorado Springs,Fountain,CO,80817
37412,Colorado Springs,Colorado Springs,CO,80916
37413,Colorado Springs,Colorado Springs,CO,80923
37414,Colorado Springs,Colorado Springs,CO,80909
37415,Colorado Springs,La Junta,CO,81050
37416,Colorado Springs,Colorado Springs,CO,80921
38824,Colorado Springs,Colorado Springs,CO,80908
38844,Colorado Springs,Colorado Springs,CO,80921
39926,New Mexico,Sante Fe,NM,87507
39927,New Mexico,Espanola ,NM,87532
39928,New Mexico,Sante Fe,NM,87505
39929,New Mexico,Sante Fe,NM,87507
39930,New Mexico,Sante Fe,NM,87506
39995,Upstate NY,Amherst ,NY,14226
39996,Upstate NY,Cheektowaga,NY,14225
39997,Upstate NY,Niagara Falls,NY,14304
39998,Upstate NY,Lockport,NY,14094
39999,Upstate NY,Orchard Park,NY,14127
40009,Upstate NY,Buffalo,NY,14216
40310,Colorado Springs,Colorado Springs,CO,80916
40322,Colorado Springs,Colorado Springs,CO,80908
40328,Upstate NY,North Tonawanda,NY,14120
40566,Upstate NY,Cheektowaga,NY,14225
40600,Upstate NY,West Seneca,NY,14224
40833,Upstate NY,Hamburg,NY,14225
